"RecOrigin","RecFlags","RecVrsn","Manufacturer","Model","SysType","UnitType","ClgCap","HtgCap","PowerCode","Series","MixPipeId","VapPipeId","Height","Width","Depth","Weight","MaxPipeLen","MaxPipeHeight"
"GREE","","2235","GREE","CON18HP230V1R32AH","H","IW","18000","20000","A","A","0250","0500","8","28","24","33","263","82"
"GREE","","2235","GREE","DUC09HP230V1R32AH","H","ID","9500","10500","A","A","0250","0375","30","33","12","70","131","49"
"GREE","","2235","GREE","DUC12HP230V1R32AH","H","ID","12000","13500","A","A","0250","0375","30","33","12","70","197","49"
"GREE","","2235","GREE","DUC18HP230V1R32AH","H","ID","18000","20000","A","A","0375","0625","30","45","12","93","263","82"
"GREE","","2235","GREE","DUC24HP230V1R32AH","H","ID","24000","27000","A","A","0375","0625","30","45","12","93","263","82"
"CARR","","2042","CARR","38MHRCQ09AA1","H","OS","9000","10000","A","A","0250","0375","22","30","12","57","82","32"
"CARR","","2042","CARR","38MHRCQ30AA3","H","OS","30000","30000","A","A","0375","0625","31","37","16","143","164","82"
"CARR","","2042","CARR","38MHRCQ36AA3","H","OS","36000","36000","A","A","0375","0625","31","37","16","150","213","98"
"CARR","","2042","CARR","38MHRDC09AA3","A","OS","9000","0","A","A","0250","0375","19","28","11","54","82","33"
"CARR","","2042","CARR","38MHRDC12AA1","A","OS","11500","0","D","A","0250","0500","19","28","11","51","82","33"
"CARR","","2042","CARR","38MHRDC12AA3","A","OS","11500","0","A","A","0250","0500","19","28","11","49","82","33"
"CARR","","2042","CARR","38MHRDC18AA3","A","OS","17000","0","A","A","0250","0500","22","30","12","62","98","66"
"GREE","","2235","GREE","DUC30HP230V1R32AH","H","ID","30000","34000","A","A","0375","0625","11","35","26","66","328","82"
"GREE","","2235","GREE","DUC36HP230V1R32AH","H","ID","36000","40000","A","A","0375","0625","26","53","11","95","328","82"
"GREE","","2235","GREE","ENV09HP230V1R32AH","H","IW","9100","10500","A","A","0250","0375","12","33","8","21","66","40"
