"Category","Item","Description","Units"
"DSRCT","DRFg2808HI","Rectangular fiberglass duct, 28"" x 8"", high insulation","1"
"DSRCT","DRFg3010","Rectangular fiberglass duct, 30"" x 10""","1"
"DSRCT","DRFg3010HI","Rectangular fiberglass duct, 30"" x 10"", high insulation","1"
"DSRCT","DRFg3008","Rectangular fiberglass duct, 30"" x 8""","1"
"DSRCT","DRFg3008HI","Rectangular fiberglass duct, 30"" x 8"", high insulation","1"
"DSRCT","DRFg3210","Rectangular fiberglass duct, 32"" x 10""","1"
"DSRCT","DRFg3210HI","Rectangular fiberglass duct, 32"" x 10"", high insulation","1"
"DSRCT","DRFg3208","Rectangular fiberglass duct, 32"" x 8""","1"
"DFRBTR","FRGRMBR-2010","Rectangular metal baseboard register, 20""x10""","0"
"DFRBTR","FRGRMBR-2012","Rectangular metal baseboard register, 20""x12""","0"
"DFRBTR","FRGRMBR-2020","Rectangular metal baseboard register, 20""x20""","0"
"DFRBTR","FRGRMBR-2006","Rectangular metal baseboard register, 20""x6""","0"
"DFRBTR","FRGRMBR-2008","Rectangular metal baseboard register, 20""x8""","0"
"DFRBTR","FRGRMBR-2410","Rectangular metal baseboard register, 24""x10""","0"
"DFRBTR","FRGRMBR-2412","Rectangular metal baseboard register, 24""x12""","0"
"DFRBTR","FRGRMBR-2416","Rectangular metal baseboard register, 24""x16""","0"
"DFRBTR","FRGRMBR-2406","Rectangular metal baseboard register, 24""x6""","0"
"DFRBTR","FRGRMBR-2408","Rectangular metal baseboard register, 24""x8""","0"
"DFRBTR","FRGRMBR-3010","Rectangular metal baseboard register, 30""x10""","0"
"DFRBTR","FRGRMBR-3012","Rectangular metal baseboard register, 30""x12""","0"
"DFRBTR","FRGRMBR-3016","Rectangular metal baseboard register, 30""x16""","0"
"DFRBTR","FRGRMBR-3006","Rectangular metal baseboard register, 30""x6""","0"
"DFRBTR","FRGRMBR-3008","Rectangular metal baseboard register, 30x8""","0"
"DFRBTR","FRGRMBR-0804","Rectangular metal baseboard register, 8""x4""","0"
"DFRBTR","FRGRMBR-0806","Rectangular metal baseboard register, 8""x6""","0"
"DFRBTR","FRGRMCG-1004","Rectangular metal ceiling grill, 10""x4""","0"
"DFRBTR","FRGRMCG-1208","Rectangular metal ceiling grill, 10""x4""","0"
"DFRBTR","FRGRMCG-1008","Rectangular metal ceiling grill, 10""x8""","0"
"DFRBTR","FRGRMCG-1210","Rectangular metal ceiling grill, 12""x10""","0"
"DFRBTR","FRGRMCG-1212","Rectangular metal ceiling grill, 12""x12""","0"
"DFRBTR","FRGRMCG-1204","Rectangular metal ceiling grill, 12""x4""","0"
"DFRBTR","FRGRMCG-1206","Rectangular metal ceiling grill, 12""x6""","0"
"DFRBTR","FRGRMCG-1410","Rectangular metal ceiling grill, 14""x10""","0"
"DFRBTR","FRGRMCG-1404","Rectangular metal ceiling grill, 14""x4""","0"
"DFRBTR","FRGRMCR-1204","Rectangular metal ceiling register, 12""x4""","0"
"DFRBTR","FRGRMCR-1206","Rectangular metal ceiling register, 12""x6""","0"
"DFRBTR","FRGRMCR-1410","Rectangular metal ceiling register, 14""x10""","0"
"DFRBTR","FRGRMCR-1404","Rectangular metal ceiling register, 14""x4""","0"
"DFRBTR","FRGRMCR-1406","Rectangular metal ceiling register, 14""x6""","0"
"DFRBTR","FRGRMCR1408","Rectangular metal ceiling register, 14""x8""","0"
"DFRBTR","FRGRMCR-1616","Rectangular metal ceiling register, 16""x16""","0"
"DFRBTR","FRGRMCR-1604","Rectangular metal ceiling register, 16""x4""","0"
"DFRBTR","FRGRMCR-2010","Rectangular metal ceiling register, 20""x10""","0"
"DFRBTR","FRGRMCR-2012","Rectangular metal ceiling register, 20""x12""","0"
"DFRBTR","FRGRMCR-2020","Rectangular metal ceiling register, 20""x20""","0"
"DFRBTR","FRGRMCR-2006","Rectangular metal ceiling register, 20""x6""","0"
"DFRBTR","FRGRMCR-2008","Rectangular metal ceiling register, 20""x8""","0"
"DFRBTR","FRGRMCR-2410","Rectangular metal ceiling register, 24""x10""","0"
"DFRBTR","FRGRMCR-2412","Rectangular metal ceiling register, 24""x12""","0"
"DFRBTR","FRGRMCR-2416","Rectangular metal ceiling register, 24""x16""","0"
"DFRBTR","FRGRMCR-2406","Rectangular metal ceiling register, 24""x6""","0"
"DFRBTR","FRGRMCR-2408","Rectangular metal ceiling register, 24""x8""","0"
"DFRBTR","FRGRMCR-3010","Rectangular metal ceiling register, 30""x10""","0"
"DFRBTR","FRGRMCR-3012","Rectangular metal ceiling register, 30""x12""","0"
"DFRBTR","FRGRMCR-3016","Rectangular metal ceiling register, 30""x16""","0"
"DFRBTR","FRGRMCR-3006","Rectangular metal ceiling register, 30""x6""","0"
"DFRBTR","FRGRMCR-3008","Rectangular metal ceiling register, 30x8""","0"
"DFRBTR","FRGRMCR-0804","Rectangular metal ceiling register, 8""x4""","0"
"DFRBTR","FRGRMCR-0806","Rectangular metal ceiling register, 8""x6""","0"
"DSRCT","DRMt1010","Rectangular metal duct, 10"" x 10""","1"
"DSRCT","DRMt1010HI","Rectangular metal duct, 10"" x 10"", high insulation","1"
"DFRTEE","FRWY-1210-0808","Rect wye, size 12"" x 10""-8"" x 8""","0"
"DFRTEE","FRWY-1208-1010","Rect wye, size 12"" x 8""-10"" x 10""","0"
"DFRTEE","FRWY-1208-1008","Rect wye, size 12"" x 8""-10"" x 8""","0"
"DFRTEE","FRWY-1208-0808","Rect wye, size 12"" x 8""-8"" x 8""","0"
"DFRTEE","FRWY-1410-1010","Rect wye, size 14"" x 10""-10"" x 10""","0"
"DFRTEE","FRWY-1410-1008","Rect wye, size 14"" x 10""-10"" x 8""","0"
"DFRTEE","FRWY-1410-0808","Rect wye, size 14"" x 10""-8"" x 8""","0"
"DFRTEE","FRWY-1408-1010","Rect wye, size 14"" x 8""-10"" x 10""","0"
"DFRTEE","FRWY-1408-1008","Rect wye, size 14"" x 8""-10"" x 8""","0"
"DFRTEE","FRWY-1408-0808","Rect wye, size 14"" x 8""-8"" x 8""","0"
"DFRTEE","FRWY-1610-1010","Rect wye, size 16"" x 10""-10"" x 10""","0"
"DFRTEE","FRWY-1610-1008","Rect wye, size 16"" x 10""-10"" x 8""","0"
"DFRTEE","FRWY-1610-0808","Rect wye, size 16"" x 10""-8"" x 8""","0"
"DFRTEE","FRWY-1608-1010","Rect wye, size 16"" x 8""-10"" x 10""","0"
"DFRTEE","FRWY-1608-1008","Rect wye, size 16"" x 8""-10"" x 8""","0"
"DFRTEE","FRWY-1608-0808","Rect wye, size 16"" x 8""-8"" x 8""","0"
"DFRTEE","FRWY-2010-1010","Rect wye, size 20"" x 10""-10"" x 10""","0"
"DFRTEE","FRWY-2010-1008","Rect wye, size 20"" x 10""-10"" x 8""","0"
"DFRTEE","FRWY-2010-0808","Rect wye, size 20"" x 10""-8"" x 8""","0"
"DFRTEE","FRWY-2008-1010","Rect wye, size 20"" x 8""-10"" x 10""","0"
"DFRTEE","FRWY-2008-1008","Rect wye, size 20"" x 8""-10"" x 8""","0"
"DFRTEE","FRWY-2008-0808","Rect wye, size 20"" x 8""-8"" x 8""","0"
"DFRTEE","FRWY-0808-0804","Rect wye, size 8"" x 8""-8"" x 4""","0"
"DFRTEE","FRWY-0808-0806","Rect wye, size 8"" x 8""-8"" x 6""","0"
"DFRTEE","FRWY-0808-0808","Rect wye, size 8"" x 8""-8"" x 8""","0"
"DSRCT","DRFg1010","Rectangular fiberglass duct, 10"" x 10""","1"
"DSRCT","DRFg1010HI","Rectangular fiberglass duct, 10"" x 10"", high insulation","1"
"DSRCT","DRFg1004","Rectangular fiberglass duct, 10"" x 4""","1"
"DSRCT","DRFg1004HI","Rectangular fiberglass duct, 10"" x 4"", high insulation","1"
"DSRCT","DRFg3208HI","Rectangular fiberglass duct, 32"" x 8"", high insulation","1"
"DSRCT","DRFg0804","Rectangular fiberglass duct, 8"" x 4""","1"
"DSRCT","DRFg0804HI","Rectangular fiberglass duct, 8"" x 4"", high insulation","1"
"DSRCT","DRFg0805","Rectangular fiberglass duct, 8"" x 5""","1"
"DSRCT","DRFg0805HI","Rectangular fiberglass duct, 8"" x 5"", high insulation","1"
"DSRCT","DRFg0806","Rectangular fiberglass duct, 8"" x 6""","1"
"DSRCT","DRFg0806HI","Rectangular fiberglass duct, 8"" x 6"", high insulation","1"
"DSRCT","DRFg0807","Rectangular fiberglass duct, 8"" x 7""","1"
"DSRCT","DRFg0807HI","Rectangular fiberglass duct, 8"" x 7"", high insulation","1"
"DSRCT","DRFg0808","Rectangular fiberglass duct, 8"" x 8""","1"
"DSRCT","DRFg0808HI","Rectangular fiberglass duct, 8"" x 8"", high insulation","1"
"DSRCT","DRFg0908","Rectangular fiberglass duct, 9"" x 8""","1"
"DSRCT","DRFg0908HI","Rectangular fiberglass duct, 9"" x 8"", high insulation","1"
"DFRBTR","FRGRMBR-1004","Rectangular metal baseboard register, 10""x4""","0"
"DFRBTR","FRGRMBR-1208","Rectangular metal baseboard register, 10""x4""","0"
"DFRBTR","FRGRMBR-1008","Rectangular metal baseboard register, 10""x8""","0"
"DFRBTR","FRGRMBR-1210","Rectangular metal baseboard register, 12""x10""","0"
"DFRBTR","FRGRMBR-1212","Rectangular metal baseboard register, 12""x12""","0"
"DFRBTR","FRGRMBR-1204","Rectangular metal baseboard register, 12""x4""","0"
"DFRBTR","FRGRMBR-1206","Rectangular metal baseboard register, 12""x6""","0"
"DFRBTR","FRGRMBR-1410","Rectangular metal baseboard register, 14""x10""","0"
"DFRBTR","FRGRMBR-1404","Rectangular metal baseboard register, 14""x4""","0"
"DFRBTR","FRGRMBR-1406","Rectangular metal baseboard register, 14""x6""","0"
"DFRBTR","FRGRMBR-1408","Rectangular metal baseboard register, 14""x8""","0"
"DFRBTR","FRGRMBR-1616","Rectangular metal baseboard register, 16""x16""","0"
"DFRBTR","FRGRMBR-1604","Rectangular metal baseboard register, 16""x4""","0"
"DFRBTR","FRGRMCG-1406","Rectangular metal ceiling grill, 14""x6""","0"
"DFRBTR","FRGRMCG-1408","Rectangular metal ceiling grill, 14""x8""","0"
"DFRBTR","FRGRMCG-1616","Rectangular metal ceiling grill, 16""x16""","0"
"DFRBTR","FRGRMCG-1604","Rectangular metal ceiling grill, 16""x4""","0"
"DFRBTR","FRGRMCG-2010","Rectangular metal ceiling grill, 20""x10""","0"
"DFRBTR","FRGRMCG-2012","Rectangular metal ceiling grill, 20""x12""","0"
"DFRBTR","FRGRMCG-2020","Rectangular metal ceiling grill, 20""x20""","0"
"DFRBTR","FRGRMCG-2006","Rectangular metal ceiling grill, 20""x6""","0"
"DFRBTR","FRGRMCG-2008","Rectangular metal ceiling grill, 20""x8""","0"
"DFRBTR","FRGRMCG-2410","Rectangular metal ceiling grill, 24""x10""","0"
"DFRBTR","FRGRMCG-2412","Rectangular metal ceiling grill, 24""x12""","0"
"DFRBTR","FRGRMCG-2416","Rectangular metal ceiling grill, 24""x16""","0"
"DFRBTR","FRGRMCG-2406","Rectangular metal ceiling grill, 24""x6""","0"
"DFRBTR","FRGRMCG-2408","Rectangular metal ceiling grill, 24""x8""","0"
"DFRBTR","FRGRMCG-3010","Rectangular metal ceiling grill, 30""x10""","0"
"DFRBTR","FRGRMCG-3012","Rectangular metal ceiling grill, 30""x12""","0"
"DFRBTR","FRGRMCG-3016","Rectangular metal ceiling grill, 30""x16""","0"
"DFRBTR","FRGRMTK-3016","Rectangular metal ceiling grill, 30""x16""","0"
"DFRBTR","FRGRMCG-3006","Rectangular metal ceiling grill, 30""x6""","0"
"DFRBTR","FRGRMCG-3008","Rectangular metal ceiling grill, 30x8""","0"
"DFRBTR","FRGRMCG-0804","Rectangular metal ceiling grill, 8""x4""","0"
"DFRBTR","FRGRMCG-0806","Rectangular metal ceiling grill, 8""x6""","0"
"DFRBTR","FRGRMCR-1208","Rectangular metal ceiling register, 10""x4""","0"
"DFRBTR","FRGRMCR-1004","Rectangular metal ceiling register, 10""x4""","0"
"DFRBTR","FRGRMCR-1008","Rectangular metal ceiling register, 10""x8""","0"
"DFRBTR","FRGRMCR-1210","Rectangular metal ceiling register, 12""x10""","0"
"DFRBTR","FRGRMCR-1212","Rectangular metal ceiling register, 12""x12""","0"
"DSRCT","DRMt1004","Rectangular metal duct, 10"" x 4""","1"
"DSRCT","DRMt1004HI","Rectangular metal duct, 10"" x 4"", high insulation","1"
"DSRCT","DRMt1005","Rectangular metal duct, 10"" x 5""","1"
"DSRCT","DRMt1005HI","Rectangular metal duct, 10"" x 5"", high insulation","1"
"DSRCT","DRMt1006","Rectangular metal duct, 10"" x 6""","1"
"DSRCT","DRMt1006HI","Rectangular metal duct, 10"" x 6"", high insulation","1"
"DSRCT","DRMt1007","Rectangular metal duct, 10"" x 7""","1"
"DSRCT","DRMt1007HI","Rectangular metal duct, 10"" x 7"", high insulation","1"
"DSRCT","DRMt1008","Rectangular metal duct, 10"" x 8""","1"
"DSRCT","DRMt1008HI","Rectangular metal duct, 10"" x 8"", high insulation","1"
"DSRCT","DRMt1009","Rectangular metal duct, 10"" x 9""","1"
"DSRCT","DRMt1009HI","Rectangular metal duct, 10"" x 9"", high insulation","1"
"DSRCT","DRMt1210","Rectangular metal duct, 12"" x 10""","1"
"DSRCT","DRMt1210HI","Rectangular metal duct, 12"" x 10"", high insulation","1"
"DSRCT","DRMt1208","Rectangular metal duct, 12"" x 8""","1"
"DSRCT","DRMt1208HI","Rectangular metal duct, 12"" x 8"", high insulation","1"
"DSRCT","DRMt1410","Rectangular metal duct, 14"" x 10""","1"
"DSRCT","DRMt1410HI","Rectangular metal duct, 14"" x 10"", high insulation","1"
"DSRCT","DRMt1408","Rectangular metal duct, 14"" x 8""","1"
"DSRCT","DRMt1408HI","Rectangular metal duct, 14"" x 8"", high insulation","1"
"DSRCT","DRMt1610","Rectangular metal duct, 16"" x 10""","1"
"DSRCT","DRMt1610HI","Rectangular metal duct, 16"" x 10"", high insulation","1"
"DSRCT","DRMt1608","Rectangular metal duct, 16"" x 8""","1"
"DSRCT","DRMt1608HI","Rectangular metal duct, 16"" x 8"", high insulation","1"
"DSRCT","DRMt1810","Rectangular metal duct, 18"" x 10""","1"
"DSRCT","DRMt1810HI","Rectangular metal duct, 18"" x 10"", high insulation","1"
"DSRCT","DRMt1808","Rectangular metal duct, 18"" x 8""","1"
"DSRCT","DRMt1808HI","Rectangular metal duct, 18"" x 8"", high insulation","1"
"DSRCT","DRMt2010","Rectangular metal duct, 20"" x 10""","1"
"DSRCT","DRMt0804HI","Rectangular metal duct, 8"" x 4"", high insulation","1"
"DSRCT","DRMt0805","Rectangular metal duct, 8"" x 5""","1"
"DSRCT","DRMt0805HI","Rectangular metal duct, 8"" x 5"", high insulation","1"
"DSRCT","DRMt0806","Rectangular metal duct, 8"" x 6""","1"
"DSRCT","DRMt0806HI","Rectangular metal duct, 8"" x 6"", high insulation","1"
"DSRCT","DRMt0807","Rectangular metal duct, 8"" x 7""","1"
"DSRCT","DRMt0807HI","Rectangular metal duct, 8"" x 7"", high insulation","1"
"DSRCT","DRMt0808","Rectangular metal duct, 8"" x 8""","1"
"DSRCT","DRMt0808HI","Rectangular metal duct, 8"" x 8"", high insulation","1"
"DSRCT","DRMt0908","Rectangular metal duct, 9"" x 8""","1"
"DSRCT","DRMt0908HI","Rectangular metal duct, 9"" x 8"", high insulation","1"
"DFRBTR","FRGRMFO-1004","Rectangular metal floor one way grill, 10""x4""","0"
"DFRBTR","FRGRMFO-1208","Rectangular metal floor one way grill, 10""x4""","0"
"DFRBTR","FRGRMFO-1008","Rectangular metal floor one way grill, 10""x8""","0"
"DFRBTR","FRGRMFO-1210","Rectangular metal floor one way grill, 12""x10""","0"
"DFRBTR","FRGRMFO-1212","Rectangular metal floor one way grill, 12""x12""","0"
"DFRBTR","FRGRMFO-1204","Rectangular metal floor one way grill, 12""x4""","0"
"DFRBTR","FRGRMFO-1206","Rectangular metal floor one way grill, 12""x6""","0"
"DFRBTR","FRGRMFO-1410","Rectangular metal floor one way grill, 14""x10""","0"
"DFRBTR","FRGRMFO-1404","Rectangular metal floor one way grill, 14""x4""","0"
"DFRBTR","FRGRMFO-1406","Rectangular metal floor one way grill, 14""x6""","0"
"DFRBTR","FRGRMFO-1408","Rectangular metal floor one way grill, 14""x8""","0"
"DFRBTR","FRGRMFO-1616","Rectangular metal floor one way grill, 16""x16""","0"
"DFRBTR","FRGRMFO-1604","Rectangular metal floor one way grill, 16""x4""","0"
"DFRBTR","FRGRMFO-2010","Rectangular metal floor one way grill, 20""x10""","0"
"DFRBTR","FRGRMFO-2012","Rectangular metal floor one way grill, 20""x12""","0"
"DFRBTR","FRGRMFO-2020","Rectangular metal floor one way grill, 20""x20""","0"
"DFRBTR","FRGRMFO-2006","Rectangular metal floor one way grill, 20""x6""","0"
"DFRBTR","FRGRMFO-2008","Rectangular metal floor one way grill, 20""x8""","0"
"DFRBTR","FRGRMFO-2410","Rectangular metal floor one way grill, 24""x10""","0"
"DFRBTR","FRGRMFO-2412","Rectangular metal floor one way grill, 24""x12""","0"
"DFRBTR","FRGRMFO-2416","Rectangular metal floor one way grill, 24""x16""","0"
"DFRBTR","FRGRMFO-2406","Rectangular metal floor one way grill, 24""x6""","0"
"DFRBTR","FRGRMFO-2408","Rectangular metal floor one way grill, 24""x8""","0"
"DFRBTR","FRGRMFO-3010","Rectangular metal floor one way grill, 30""x10""","0"
"DFRBTR","FRGRMFO-3012","Rectangular metal floor one way grill, 30""x12""","0"
"DFRBTR","FRGRMFO-3016","Rectangular metal floor one way grill, 30""x16""","0"
"DFRBTR","FRGRMFO-3006","Rectangular metal floor one way grill, 30""x6""","0"
"DFRBTR","FRGRMFO-3008","Rectangular metal floor one way grill, 30x8""","0"
"DFRBTR","FRGRMFO-0804","Rectangular metal floor one way grill, 8""x4""","0"
"DFRBTR","FRGRMFO-0806","Rectangular metal floor one way grill, 8""x6""","0"
"DFRBTR","FRGRMFT-1004","Rectangular metal floor two way grill, 10""x4""","0"
"DFRBTR","FRGRMFT-1208","Rectangular metal floor two way grill, 10""x4""","0"
"DFRBTR","FRGRMFT-1008","Rectangular metal floor two way grill, 10""x8""","0"
"DFRBTR","FRGRMFT-1210","Rectangular metal floor two way grill, 12""x10""","0"
"DFRBTR","FRGRMFT-1212","Rectangular metal floor two way grill, 12""x12""","0"
"DFRBTR","FRGRMFT-1204","Rectangular metal floor two way grill, 12""x4""","0"
"DFRBTR","FRGRMFT-1206","Rectangular metal floor two way grill, 12""x6""","0"
"DFRBTR","FRGRMFT-1410","Rectangular metal floor two way grill, 14""x10""","0"
"DFRBTR","FRGRMFT-1404","Rectangular metal floor two way grill, 14""x4""","0"
"DFRBTR","FRGRMFT-1406","Rectangular metal floor two way grill, 14""x6""","0"
"DFRBTR","FRGRMFT-1408","Rectangular metal floor two way grill, 14""x8""","0"
"DFRBTR","FRGRMFT-1616","Rectangular metal floor two way grill, 16""x16""","0"
"DFRBTR","FRGRMFT-1604","Rectangular metal floor two way grill, 16""x4""","0"
"DFRBTR","FRGRMFT-2010","Rectangular metal floor two way grill, 20""x10""","0"
"DFRBTR","FRGRMFT-2012","Rectangular metal floor two way grill, 20""x12""","0"
"DFRBTR","FRGRMFT-2020","Rectangular metal floor two way grill, 20""x20""","0"
"DFRBTR","FRGRMFT-2006","Rectangular metal floor two way grill, 20""x6""","0"
"DFRBTR","FRGRMFT-2008","Rectangular metal floor two way grill, 20""x8""","0"
"DFRBTR","FRGRMFT-2410","Rectangular metal floor two way grill, 24""x10""","0"
"DFRBTR","FRGRMFT-2412","Rectangular metal floor two way grill, 24""x12""","0"
"DFRBTR","FRGRMFT-2416","Rectangular metal floor two way grill, 24""x16""","0"
"DFRBTR","FRGRMFT-2406","Rectangular metal floor two way grill, 24""x6""","0"
"DFRBTR","FRGRMFT-2408","Rectangular metal floor two way grill, 24""x8""","0"
"DFRBTR","FRGRMFT-3010","Rectangular metal floor two way grill, 30""x10""","0"
"DFRBTR","FRGRMFT-3012","Rectangular metal floor two way grill, 30""x12""","0"
"DFRBTR","FRGRMFT-3016","Rectangular metal floor two way grill, 30""x16""","0"
"DFRBTR","FRGRMFT-3006","Rectangular metal floor two way grill, 30""x6""","0"
"DFRBTR","FRGRMFT-3008","Rectangular metal floor two way grill, 30x8""","0"
"DFRBTR","FRGRMFT-0804","Rectangular metal floor two way grill, 8""x4""","0"
"DFRBTR","FRGRMFT-0806","Rectangular metal floor two way grill, 8""x6""","0"
"DFRBTR","FRGRMWS-1004","Rectangular metal stud space grill, 10""x4""","0"
"DFRBTR","FRGRMWS-1208","Rectangular metal stud space grill, 10""x4""","0"
"DFRBTR","FRGRMWS-1008","Rectangular metal stud space grill, 10""x8""","0"
"DFRBTR","FRGRMWS-1210","Rectangular metal stud space grill, 12""x10""","0"
"DFRBTR","FRGRMWS-1212","Rectangular metal stud space grill, 12""x12""","0"
"DFRBTR","FRGRMWS-1204","Rectangular metal stud space grill, 12""x4""","0"
"DFRBTR","FRGRMWS-1206","Rectangular metal stud space grill, 12""x6""","0"
"DFRBTR","FRGRMTK-1212","Rectangular metal toe kick grill, 12""x12""","0"
"DFRBTR","FRGRMTK-1204","Rectangular metal toe kick grill, 12""x4""","0"
"DFRBTR","FRGRMTK-1410","Rectangular metal toe kick grill, 14""x10""","0"
"DFRBTR","FRGRMTK-1404","Rectangular metal toe kick grill, 14""x4""","0"
"DFRBTR","FRGRMTK-1406","Rectangular metal toe kick grill, 14""x6""","0"
"DFRBTR","FRGRMTK-1408","Rectangular metal toe kick grill, 14""x8""","0"
"DFRBTR","FRGRMTK-1616","Rectangular metal toe kick grill, 16""x16""","0"
"DFRBTR","FRGRMTK-1604","Rectangular metal toe kick grill, 16""x4""","0"
"DFRBTR","FRGRMTK-2010","Rectangular metal toe kick grill, 20""x10""","0"
"DFRBTR","FRGRMTK-2012","Rectangular metal toe kick grill, 20""x12""","0"
"DFRBTR","FRGRMTK-2020","Rectangular metal toe kick grill, 20""x20""","0"
"DFRBTR","FRGRMTK-2006","Rectangular metal toe kick grill, 20""x6""","0"
"DFRBTR","FRGRMTK-2008","Rectangular metal toe kick grill, 20""x8""","0"
"DFRBTR","FRGRMTK-2410","Rectangular metal toe kick grill, 24""x10""","0"
"DFRBTR","FRGRMTK-2412","Rectangular metal toe kick grill, 24""x12""","0"
"DFRBTR","FRGRMTK-2416","Rectangular metal toe kick grill, 24""x16""","0"
"DFRBTR","FRGRMTK-2406","Rectangular metal toe kick grill, 24""x6""","0"
"DFRBTR","FRGRMTK-2408","Rectangular metal toe kick grill, 24""x8""","0"
"DFRBTR","FRGRMTK-3010","Rectangular metal toe kick grill, 30""x10""","0"
"DFRBTR","FRGRMTK-3012","Rectangular metal toe kick grill, 30""x12""","0"
"DFRBTR","FRGRMTK-3006","Rectangular metal toe kick grill, 30""x6""","0"
"DFRBTR","FRGRMTK-3008","Rectangular metal toe kick grill, 30x8""","0"
"DFRBTR","FRGRMTK-0804","Rectangular metal toe kick grill, 8""x4""","0"
"DFRBTR","FRGRMTK-0806","Rectangular metal toe kick grill, 8""x6""","0"
"DFRBTR","FRGRMTK-1206","Rectangular metal toe kick, 12""x6""","0"
"DFRBTR","FRGRMWG-1004","Rectangular metal wall grill, 10""x4""","0"
"DFRBTR","FRGRMWG-1208","Rectangular metal wall grill, 10""x4""","0"
"DSRCT","DRMt2010HI","Rectangular metal duct, 20"" x 10"", high insulation","1"
"DSRCT","DRMt2008","Rectangular metal duct, 20"" x 8""","1"
"DSRCT","DRMt2008HI","Rectangular metal duct, 20"" x 8"", high insulation","1"
"DSRCT","DRMt2210","Rectangular metal duct, 22"" x 10""","1"
"DSRCT","DRMt2210HI","Rectangular metal duct, 22"" x 10"", high insulation","1"
"DSRCT","DRMt2208","Rectangular metal duct, 22"" x 8""","1"
"DSRCT","DRMt2208HI","Rectangular metal duct, 22"" x 8"", high insulation","1"
"DSRCT","DRMt2410","Rectangular metal duct, 24"" x 10""","1"
"DSRCT","DRMt2410HI","Rectangular metal duct, 24"" x 10"", high insulation","1"
"DSRCT","DRMt2408","Rectangular metal duct, 24"" x 8""","1"
"DSRCT","DRMt2408HI","Rectangular metal duct, 24"" x 8"", high insulation","1"
"DSRCT","DRMt2610","Rectangular metal duct, 26"" x 10""","1"
"DSRCT","DRMt2610HI","Rectangular metal duct, 26"" x 10"", high insulation","1"
"DSRCT","DRMt2608","Rectangular metal duct, 26"" x 8""","1"
"DSRCT","DRMt2608HI","Rectangular metal duct, 26"" x 8"", high insulation","1"
"DSRCT","DRMt2810","Rectangular metal duct, 28"" x 10""","1"
"DSRCT","DRMt2810HI","Rectangular metal duct, 28"" x 10"", high insulation","1"
"DSRCT","DRMt2808","Rectangular metal duct, 28"" x 8""","1"
"DSRCT","DRMt2808HI","Rectangular metal duct, 28"" x 8"", high insulation","1"
"DSRCT","DRMt3010","Rectangular metal duct, 30"" x 10""","1"
"DSRCT","DRMt3010HI","Rectangular metal duct, 30"" x 10"", high insulation","1"
"DSRCT","DRMt3008","Rectangular metal duct, 30"" x 8""","1"
"DSRCT","DRMt3008HI","Rectangular metal duct, 30"" x 8"", high insulation","1"
"DSRCT","DRMt3210","Rectangular metal duct, 32"" x 10""","1"
"DSRCT","DRMt3210HI","Rectangular metal duct, 32"" x 10"", high insulation","1"
"DSRCT","DRMt3208","Rectangular metal duct, 32"" x 8""","1"
"DSRCT","DRMt3208HI","Rectangular metal duct, 32"" x 8"", high insulation","1"
"DSRCT","DRMt0804","Rectangular metal duct, 8"" x 4""","1"
"DFRBTR","FRGRMWS-1410","Rectangular metal stud space grill, 14""x10""","0"
"DFRBTR","FRGRMWS-1404","Rectangular metal stud space grill, 14""x4""","0"
"DFRBTR","FRGRMWS-1406","Rectangular metal stud space grill, 14""x6""","0"
"DFRBTR","FRGRMWS-1408","Rectangular metal stud space grill, 14""x8""","0"
"DFRBTR","FRGRMWS-1616","Rectangular metal stud space grill, 16""x16""","0"
"DFRBTR","FRGRMWS-1604","Rectangular metal stud space grill, 16""x4""","0"
"DFRBTR","FRGRMWS-2010","Rectangular metal stud space grill, 20""x10""","0"
"DFRBTR","FRGRMWS-2012","Rectangular metal stud space grill, 20""x12""","0"
"DFRBTR","FRGRMWS-2020","Rectangular metal stud space grill, 20""x20""","0"
"DFRBTR","FRGRMWS-2006","Rectangular metal stud space grill, 20""x6""","0"
"DFRBTR","FRGRMWS-2008","Rectangular metal stud space grill, 20""x8""","0"
"DFRBTR","FRGRMWS-2410","Rectangular metal stud space grill, 24""x10""","0"
"DFRBTR","FRGRMWS-2412","Rectangular metal stud space grill, 24""x12""","0"
"DFRBTR","FRGRMWS-2416","Rectangular metal stud space grill, 24""x16""","0"
"DFRBTR","FRGRMWS-2406","Rectangular metal stud space grill, 24""x6""","0"
"DFRBTR","FRGRMWS-2408","Rectangular metal stud space grill, 24""x8""","0"
"DFRBTR","FRGRMWS-3010","Rectangular metal stud space grill, 30""x10""","0"
"DFRBTR","FRGRMWS-3012","Rectangular metal stud space grill, 30""x12""","0"
"DFRBTR","FRGRMWS-3016","Rectangular metal stud space grill, 30""x16""","0"
"DFRBTR","FRGRMWS-3006","Rectangular metal stud space grill, 30""x6""","0"
"DFRBTR","FRGRMWS-3008","Rectangular metal stud space grill, 30x8""","0"
"DFRBTR","FRGRMWS-0804","Rectangular metal stud space grill, 8""x4""","0"
"DFRBTR","FRGRMWS-0806","Rectangular metal stud space grill, 8""x6""","0"
"DFRBTR","FRGRMTK-1208","Rectangular metal toe kick grill, 10""x4""","0"
"DFRBTR","FRGRMTK-1004","Rectangular metal toe kick grill, 10""x4""","0"
"DFRBTR","FRGRMTK-1008","Rectangular metal toe kick grill, 10""x8""","0"
